form,id,label
C10,157,Collection Date
C10,220,Number of nucleated cells per kilo
C10,13,First line of address
C10,14,Second line of address
C10,15,Third line address
C10,42,Date of Birth
C10,51,City Address
C10,53,Cytomegalovirus (CMV)
C10,65,Country
C10,99,Email
C10,105,Fax Number
C10,132,Receiving institution
C10,133,Invoice institution
C10,287,Postal Code
C10,131,Institution
C10,233,Contact phone number
C10,285,Weight
C10,5,Blood Group (ABO)
C10,6,Blood Group (Rhesus)
C10,127,Donor Identification ( to be replaced by GRID)
C10,106,First name
C10,128,Patient Identification
C10,154,Last name
C20,42,Date of Birth
C20,127,Donor Identification ( to be replaced by GRID)
C20,106,First name
C20,128,Patient Identification
C20,154,Last name
C30,42,Date of Birth
C30,127,Donor Identification ( to be replaced by GRID)
C30,106,First name
C30,128,Patient Identification
C30,154,Last name
CB10,66,CBU verification typing date
CB10,240,CBU product modification
CB10,258,CBU confirmatory typing sample
CB10,274,CBU Bag
CB10,277,CBU viability
CB10,126,Cord Blood Unit Identification
CB10,3,HLA A (1st antigen)
CB10,4,HLA A (2nd antigen)
CB10,33,HLA-B (1st antigen)
CB10,34,HLA-B (2nd antigen)
CB10,43,HLA-C (1st antigen)
CB10,44,HLA-C (2nd antigen)
CB10,71,HLA A (1st allele)
CB10,72,HLA A (2nd allele)
CB10,74,HLA B (1st allele)
CB10,75,HLA B (2nd allele)
CB10,76,HLAC (1st allele)
CB10,77,HLAC (2nd allele)
CB10,78,HLA DPA1 (1st allele)
CB10,79,HLA DPA1 (2nd allele)
CB10,80,HLA DPB1 (1st allele)
CB10,81,HLA DPB1 (2nd allele)
CB10,82,HLA-DQB1 (1st antigen)
CB10,83,HLA-DQB1 (2nd antigen)
CB10,84,HLA DQA1 (1st allele)
CB10,85,HLA DQA1 (2nd allele)
CB10,86,HLA-DQB1 (1st allele)
CB10,87,HLA-DQB1 (2nd allele)
CB10,88,HLA-DRB1 (1st antigen)
CB10,89,HLA-DRB1 (2nd antigen)
CB10,90,HLA-DRB1 (1st allele)
CB10,91,HLA-DRB1 (2nd allele)
CB10,92,HLA-DRB3 (1st allele)
CB10,93,HLA-DRB3 (2nd allele)
CB10,94,HLA-DRB4 (1st allele)
CB10,95,HLA-DRB4 (2nd allele)
CB10,96,HLA-DRB5 (1st allele)
CB10,97,HLA-DRB5 (2nd allele)
CB10,5,Blood Group (ABO)
CB10,6,Blood Group (Rhesus)
CB10,13,First line of address
CB10,14,Second line of address
