id,field_identifier,dict_field_id,comment,description,element_type,length,type,required
1,CREATION_TIME,,"Without fractional seconds the length is 20, for example: 2016-08-23T13:16:48Z. Additional notes: CREATION_TIME is defined as ""Creation time stamp of the <INVENTORIES>"" that means the time in UTC when the complete and valid file was finally created at the registry. This can be the same as SNAPSHOT_TIME.",Creation time stamp of the inventories (in UTC),InventoryType,minimal 20,dateTime,Y
2,LISTING_ORGANIZATION,251,Issuing Organisation Number (ION) allocated by ICBBA. This can be different from the POOL when another organisation is sending the data to BMDW.,Organisation that lists the donor/cbu provided as ION,InventoryType,4,ionType: number between 1000 and 9999,Y
3,POOL,235,Physical location of the donors/CBUs of the inventory provided as ION.,Physical location of the donors/CBUs of the inventory provided as ION,InventoryType,4,ionType: number between 1000 and 9999,Y
4,SNAPSHOT_TIME,,"Without fractional seconds the length is 20, for example: 2016-08-23T13:16:48Z Additional notes: SNAPSHOT_TIME in the element <INVENTORY> is defined as ""timestamp of the data snapshot in UTC"" that means the timestamp of the creation of this part of the complete file. This can be the timestamp of the XML export and I guess that in most of the cases it will be identical to the CREATION_TIME.",Timestamp of the 'data snapshot' (in UTC),InventoryType,minimal 20,dateTime,N
5,CONTENT_TYPE,275,"The content-type is also shown in the fileName. When CONTENT_TYPE is ""D"", the INVENTORY must contain <DONOR>-blocks. When CONTENT_TYPE is ""C"", the INVENTORY must contain <CBU>-blocks.","Type of the inventory items, i.e. donor (""D"") or CBU (""C"")",InventoryType,1,contentTypeType,Y
6,UPDATE_MODE,,"Only UPDATE_MODE ""FULL"" is currently supported. Always the complete inventory should be send.","Update mode of the inventory, i.e. FULL or DIFF",InventoryType,4,updateModeType,Y
7,SCHEMA_VERSION,,The schema version is very important as this determines the validation rules that should be applied during the processing of your file.,Version of the applied XML Schema Definition (XSD),InventoryType,,schemaVersionType,Y
8,ID,127,"Unique identifier of the donor/CBU: If you are an EMDIS member, you can use the same ID as you use for that system (EMDIS hub code + donor identification allocated by the associated donor registry). For non-EMDIS members we recommend to use two digit ISO country code of the associated donor registry + donor identification allocated by the associated donor registry. For example: AU600196166, DEGOE-35487, US087013165, SB45. However, you are also allowed to use just the donor ID allocated by your registry.",Unique identifier of the donor/CBU,ItemBaseType,17,String,Y
9,GRID,127,ONLY applicable for donors,Global registration identifier of the donor,ItemBaseType,19,String,N
10,ATTR,31,,Describing attribute of the donor/CBU according to house rules of the sending organization.,ItemBaseType,3,String,N
11,BIRTH_DATE,41,"Date without timezone information, example 1968-06-28, Date Delimiter = ""-""",Date of birth of the donor/CBU,ItemBaseType,10,bareDateType,Y
12,SEX,262,"sexType: ""F"",""M"" NOTE: Mandatory for donors, optional for CBUs",Biological gender of the donor/CBU,ItemBaseType,1,sexType,N
13,ABO,5,"aboType: ""A"",""B"",""O"",""AB""",Blood group (ABO) of the donor/CBU,ItemBaseType,2,aboType,N
14,RHESUS,6,"rhesusType: ""P"",""N"". NOTE: ""+"" and ""-"" are not supported",Rhesus (Rh) factor of the donor/CBU,ItemBaseType,1,rhesusType,N
15,ETHN,100,"ethnType: ""AFNA"",""AFSS"", ""ASSW"", ""ASSO"", ""ASCE"", ""ASSE"", ""ASNE"", ""ASOC"", ""CAEU"",•À_""CAER"", ""CANA"", ""CAAU"", ""HICA"", ""HISA"", ""AF"", ""AS"", ""CA"", ""HI"", ""MX"", ""OT"",""UK""",Ethnic group of the donor/CBU,ItemBaseType,4,ethnType,N
16,CCR5,45,"ccr5Type: ""DD"",""WW"",""DW""",CCR5 status of the donor/CBU,ItemBaseType,2,ccr5Type,N
17,HLA,,Explained separately at hlaType 2.3,HLA of the donor/cbu,ItemBaseType,-,hlaType,Y
18,KIR,,Explained separately at•À_kirType 2.4,KIR genotype of the donor/CBU,ItemBaseType,-,kirType,N
19,IDM,,Explained separately at•À_idmType 2.5,Infectious disease markers (IDM) and other relevant tests of the donor/CBU,ItemBaseType,-,idmType,N
