id,field_code,field_description,field_type,field_rule,dict_field_id
1,CB_34PC,Collected total number of CD34+ cells,F7,Cells expressed in scientific notation; valid range 0.0E0 to 999.9E6,1
2,CB_34PC_FRZN,Processed total number of CD34+ cells. Post processing and pre-cryopreservation.,F7,Cells expressed in scientific notation; valid range 0.0E0 to 999.9E6,2
3,CB_A1,"CBU HLA-A, 1st antigen",A5,Values according to WHO nomenclature _ see note 2 in the appendix,3
4,D_A1,"Donor HLA-A, 1st antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,3
5,P_A1,"Patient HLA-A, 1st antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,3
6,CB_A2,"CBU HLA-A, 2nd antigen",A5,Values according to WHO nomenclature _ see note 2 in the appendix,4
7,D_A2,"Donor HLA-A, 2nd antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,4
8,P_A2,"Patient HLA-A, 2nd antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,4
9,CB_ABO,CBU blood group and optional rhesus,A3,"A, B, O (letter O), AB, all optional suffixed with P, +, N or -",5
11,D_ABO,Donor blood group and optional rhesus,A3,"A,B,O (letter O), AB; optional suffixed with P, +, N or -",5
12,P_ABO,Patient blood group and rhesus,A3,"A, B, O (letter O), AB, all suffixed with P, +, N or -",5
13,ACC_DAYS,Weekdays acceptable for sample reception,B7,"Binary fixed length string for the 7 days in the week. Position 1 corresponds with Monday, position 7 corresponds with Sunday. Default: 1111100Example: 1110000 means acceptable days for reception are Monday, Tuesday and Wednesday, not acceptable days are Thursday, Friday, Saturday or Sunday.",7
14,DON_ACCPT,Donor still of interest,A1,Y = Yes N = No,8
15,ACCREDITATION,Accreditations obtained,B5,"Binary fixed length string, in which each position represents an accreditation status a cord blood bank has obtained. This field is currently only allowed, if the INST_TYPE field in the NEW_ADD message is �CBB�.Position 1: NetCord-FACTPosition 2: AABB Position 3: to be defined Position 4: to be defined Position 5: to be defined",9
16,ACK_DATE,Date of acknowledgement,D8,Date format YYYYMMDD,10
17,ACK_ID,Acknowledgement ID,A17,Free form; see note 1 in the appendix,11
18,ACTION,Administrative action,A10,�CBU_FULL� = request full inventory,12
19,ADDR_1,Address Line 1,A40,Free form; see note 1 in the appendix,13
20,ADDR_2,Address Line 2,A40,Free form; see note 1 in the appendix,14
21,ADDR_3,Address Line 3,A40,Free form; see note 1 in the appendix,15
22,CB_AL_PLA,The total number of CBU plasma aliquots available for testing. These samples may be used for infectious disease testing,N2,,16
23,CB_AL_RED_BC,The total number of CBU red cell fraction aliquots available for testing. These samples may be used for infectious disease testing,N2,,17
24,CB_AL_SER,Number of CBU serum aliquots available,N2,,18
25,D_ALT,Donor ALT status,N3,in Units per litre (u/l),19
26,ALTER_DATE1,First alternative date for marrow collection / CBU shipment,D8,Date format YYYYMMDD,20
27,ALTER_DATE2,Second alternative date for marrow collection / CBU shipment,D8,Date format YYYYMMDD,21
28,ALTER_REQ_TYPE,Workup request type - alternative,A4,PBSC = Request a PBSC collectionSCD = Request the workup of a stem cell donor CBU = Request a cord blood unit,22
29,ANTI_COAG,Type of anticoagulant,A10,"ACD, CPD, HEPARIN",23
30,CB_ANTI_HBC,CBU Hepatitis B status (antibody to hepatitis B core antigen),A1,P = Positive N = Negative,24
31,D_ANTI_HBC,Donor Hepatitis B status (antibody to hepatitis B core antigen),A1,P = Positive N = NegativeQ = Questionable/Uncertain,24
32,D_ANTI_HBS,Donor Hepatitis B status (antibody to hepatitis B surface antigen),A1,P = Positive N = NegativeQ = Questionable/Uncertain,25
33,CB_ANTI_HCV,CBU Hepatitis C status (antibody to hepatitis C virus),A1,P = Positive N = Negative,26
34,D_ANTI_HCV,Donor Hepatitis C status (antibody to hepatitis C virus),A1,P = Positive N = NegativeQ = Questionable/Uncertain,26
35,CB_ANTI_HIV_12,CBU Anti-HIV 1/2 status,A1,P = Positive N = Negative,27
36,D_ANTI_HTLV,Donor Antibody to HTLV1.V2,A1,P = Positive N = NegativeQ = Questionable/Uncertain,28
37,ARRV_DATE,Date arrival of requested sample,D8,Date format YYYYMMDD,29
38,CB_ATT_SEG,Number of attached segments available,N2,,30
39,DON_ATTR,Donor attribute,A3,Free form; see note 1 in the appendix,31
40,AUTO_DATE,Date autologous units,D8,Date format YYYYMMDD,32
41,CB_B1,"CBU HLA-B, 1st antigen",A5,Values according to WHO nomenclature _ see note 2 in the appendix,33
42,D_B1,"Donor HLA-B, 1st antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,33
43,P_B1,"Patient HLA-B, 1st antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,33
44,CB_B2,"CBU HLA-B, 2nd antigen",A5,Values according to WHO nomenclature _ see note 2 in the appendix,34
45,D_B2,"Donor HLA-B, 2nd antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,34
46,P_B2,"Patient HLA-B, 2nd antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,34
47,CB_BACT_CULT,Bacterial culture,A1,P = Positive N = Negative D = Not done,35
48,CB_BAG_ID,"The identification as it appears on the bag. If more than one bag is available, do not fill in this field.",A17,Free form; see note 1 in the appendix,36
49,CB_BAGS,Number of bags for the cord blood sub units,N2,,37
50,CB_BANK_DISTRIB_ID,The ID of the bank distributing the unit.  This may be different to  the manufacturer,A10,EMDIS hub code + Local Id,38
51,CB_BANK_MANUF_ID,The ID of the bank that manufactured the unit,A10,EMDIS hub code + Local Id,39
52,CB_BANK_MAT_ID,The identification used to identify the maternal donor,A15,Local ID,40
53,CB_BIRTH_DATE,CBU Date of birth (date the infant was born),D8,Date format: YYYYMMDD,41
54,D_BIRTH_DATE,Donor date of birth,D8,"Date format YYYYMMDDSince this field is a required field as of IP5, YYYY0101 should be given if the exact date of birth is unknown",42
55,P_BIRTH_DATE,Patient date of birth,D8,Date format YYYYMMDD,42
56,CB_C1,"CBU HLA-C, 1st antigen",A5,Values according to WHO nomenclature _ see note 2 in the appendix,43
57,D_C1,"Donor HLA-C, 1st antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,43
58,P_C1,"Patient HLA-C, 1st antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,43
59,CB_C2,"CBU HLA-C, 2nd antigen",A5,Values according to WHO nomenclature _ see note 2 in the appendix,44
60,D_C2,"Donor HLA-C, 2nd antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,44
61,P_C2,"Patient HLA-C, 2nd antigen",A5,Values according to WHO nomenclature _ see note 3 in the appendix,44
62,CB_CCR5,CBU CCR5 status,A2,DD = Deletion (delta 32) - homozygousDW = Deletion (delta 32) / wildtype - heterozygousWW = Wildtype - homozygous,45
63,D_CCR5,Donor CCR5 status,A2,DD = Deletion (delta 32) - homozygousDW = Deletion (delta 32) / wildtype - heterozygousWW = Wildtype - homozygous,45
64,CD34PC_KG,Number of CD34+ cells per kilo for recipient,F7,Cells expressed in scientific notation,46
65,CD3PC_KG,Number of CD3+ cells per kilo for recipient,F7,Cells expressed in scientific notation,47
66,CB_CFU,Total CFU post processing count (post processing and pre-cryopreservation). GM method,F7,Cells expressed in scientific notation; valid range 0.0E5 to 999.9E5,48
67,CB_CHAGAS,CBU Chagas status,A1,P = Positive N = Negative,49
68,D_CHECKUP_DATE,Date of last medical checkup of the donor,D8,Date format YYYYMMDD,50
