id,label,description_short,field_type,units,range,values,owner_family_id,description_long
1,Collected CD34+,Collected total number of CD34+ cells,N,10^6,0 to 999.9 x 10^6,,1,
2,Processed CD34+,Processed total number of CD34+ cells. Post processing and pre-cryopreservation.,N,10^6,0 to 999.9 x 10^6,,1,
3,HLA A (1st antigen),"""mesured by serology - serology must have been tested, must not be a computed value",A,,,,2,
4,HLA A (2nd antigen),"""mesured by serology - serology must have been tested, must not be a computed value",A,,,,2,
5,Blood Group (ABO),Blood Group (ABO),S,,,"A, B, AB, O",3,
6,Blood Group (Rhesus),Blood Group (Rhesus),S,,,"Positive, Negative",3,
7,Acceptable sample reception days,A list of (multiple) weekdays on which sample can be received. Used for sample requests.,M,,,"Monday, Tuesday etc.(At least 1 up to all allowed)",4,
8,Donor still of interest,"At VT, when reporting the HLA results to the DC the TC indicates whether they are still interested in the donor",S,,,"Yes, No",4,
9,CBB Accreditation,The current accreditation status of the Cord Blood Bank,M,,,"NetCord-FACTAABB(Zero, One or Mulitple allowed) ",1,
10,Receipt acknowledgement,Acknowledgment sent to the sender of a request  usually Hub to Hub,U,,,,4,
11,ACK_ID,"EMDIS message only, not in WMDA data dictionary",U,,,,7,
12,ACTION,"EMDIS message only, not in WMDA data dictionary",U,,,,7,
13,First line of address,"The first line of an address, generally for an organisation, can be any format",A,,,,4,
14,Second line of address,"The second line of an address, generally for an organisation, can be any format",A,,,,4,
15,Third line address,"The third line of an address, generally for an organisation, can be any format",A,,,,4,
16,CBU plasma aliquots,Number of plasma aliquots available for testing,N,(Count),0 to 99,,1,
17,CBU red cell aliquots,Number of red cell aliquots available for testing,N,(Count),0 to 99,,1,
18,CBU serum aliquots,Number of serum aliquots available for testing,N,(Count),0 to 99,,1,
19,Donor ALT status,Result of donor alanine aminotransferase test,N,Units per litre (u/L),,,5,
20,Preferred date (collection/shipment) 2,Transplant centre collection/shipment date preference,D,,,,4,
21,Preferred date (collection/shipment) 3,Transplant centre collection/shipment date preference,D,,,,4,
22,ALTER_REQ_TYPE,Not used see Product request,U,,,,7,
23,Required Anticoagulant,Type of anticoagulant,M,,,"ACD, Heparin, EDTA",4,
24, Anti-HBc,Antibody to Hepatitis B core antigen,S,,,"Postive, Negative",5,
25,HBs Ag,Antibody to Hepatitis B surface antigen,S,,,"Postive, Negative, Questionable",5,
26,Anti HCV,Antibody to Hepatitis C virus,S,,,"Positive, Negative",5,
27,Anti-HIV 1 and Anti-HIV 2,Anti HIV 1/2 Status,S,,,"Positive, Negative",5,
28,Anti-HTLV I/II,Anti HTLV Status,S,,,"Postive, Negative, Questionable",5,
29,Scheduled delivery date,Sample Arrival date,D,,Must be in the future,,4,
30,Contigous/attached segments,Number of attached segments available for a CBU,N,,0 to 99,,1,
31,Donor Attribute,The individual donor attribute assignment as determined by the registry's national rules (for GRID implementation),A,,,,3,
32, Donor Autologous Unit,Refers to an autologous blood donation made by a donor prior to HPC(M) collection. Used any more?,U,,,,4,
33,HLA-B (1st antigen),"""mesured by serology - serology must have been tested, must not be a computed value",A,,,,2,
34,HLA-B (2nd antigen),"""mesured by serology - serology must have been tested, must not be a computed value",A,,,,2,
35,Microbial Screen(bacteria),Bacterial culture,S,,,"Positive, Negative, not done",1,
36,CBU Bag ID,The identification as it appears on the bag. ,F,,,,1,
37,Number of CBU bags,Number of bags for the cord blood sub units,N,,0 to 99,,1,
38,Cord Blood Bank,Identifying information of the CBB,A,,,,1,
39,Cord Blood Bank Manufacturing ID,The ID of the bank that manufactured the unit,U,,,,4,
40,Maternal ID,The identification used to identify the maternal donor,A,,,,1,
41,CBU birth date,Birth date of infant ( see CBU Collection date). EMDIS message only,D,,Must be in the past,,1,
42,Date of Birth,Birth date,D,,Must be in the past,,3,
43,HLA-C (1st antigen),"""mesured by serology - serology must have been tested, must not be a computed value",A,,,,2,
44,HLA-C (2nd antigen),"""mesured by serology - serology must have been tested, must not be a computed value",A,,,,2,
45,CCR5 ,C-C chemokine receptor type 5 status,S,,,"DD = Deletion (delta 32) - homozygousDW = Deletion (delta 32) / wildtype - heterozygousWW = Wildtype - homozygous",2,
46,Required CD34+/kg,Requested number of CD34+ cells per kilo for recipient,N,10^6,0 to 999.9 x 10^6/kg,,3,
47,Required CD3+/kg,Requested number of CD3+ cells per kilo for recipient,N,10^6,0 to 999.9 x 10^6/kg,,3,
48,Total colony forming units (CFU),Total CFU post processing count (post processing and pre-cryopreservation). GM method,N,10^4,0 to 999.9 x 10^4,,1,
49,Chagas Screen,Chagas status,S,,,"Postive, Negative",5,
50,Donor Checkup date,Date of last medical checkup,D,,Must be in past,,4,
51,City Address,"The city of an address, generally for an organisation, can be any format",A,,,,4,
52,Donor Clearance date,Date donor clearance is confirmed,D,,Must be in past,,3,
53,Cytomegalovirus (CMV),CMV status,S,,,"N = Both IgG and IgM negative Q = Questionable / UnclearG = IgG positive, IgM negative M = IgG negative, IgM positive B = Both IgG and IgM positiveP = IgG or IgM positive, test did not differentiate H = IgG positive, IgM not testedO = IgG negative, IgM not tested",5,
54,CMV Test Date,Date CMV tested,D,,Must be in past,,5,
55,CMV DNA PCR,CMV DNA PCR status,S,,,"P = Positive N = Negative",5,
56,CBU Collection Date,Date CBU was collected,D,,Must be in past,,1,
57,Sample Collection Date,Date of donor sample collection,D,,,,3,
58,Donor product preference,"Donor's preferred donation method ( not on any WMDA forms, only Emdis but should it be included?)",S,,,"M = Marrow P = PBSCB = Both",3,
59,Earliest Sample Collection Date,Earliest ,D,,,,3,
60,Latest Sample Collection Date,"EMDIS message only, not in WMDA data dictionary. Workup request for future implementation",D,,,,3,
61,Total number of days of conditioning regimen,The number of condititioning days the patient will have prior to transplantation,N,,,,4,
62,Work up request confirmation date,"EMDIS message only, not in WMDA data dictionary.",D,,,,4,
63,CONFIRM,"EMDIS message only, not in WMDA data dictionary.",A,,,"Y = SuccessfulN = Not successful",7,
64,Donor contact date,Date of last confirmed contact with the donor.,D,,Must be in past,,4,
65,Country,"The country of an address, generally for an organisation, can be any format",A,,,,4,
66,CBU verification typing date,Need to define what constitutes VT ( current FACT standards?) Date verification typing was completed,D,,,,1,
67,Patient Diagnosis,Diagnosis of the patient,A,,,,4,
68,Patient Diagnosis date,Date of patient diagnosis,D,,Must be in past,,4,
69,Diagnosis details,Additional explanatory text describing diagnosis of the patient,A,,,,4,
70,Disease stage,"Patient disease stage ( not on WMDA forms, should be?)",A,,,,4,
71,HLA A (1st allele),"DNA-A, 1st allele. Values according to WHO nomenclature ",N,,,,2,
72,HLA A (2nd allele),"DNA-A, 2nd allele. Values according to WHO nomenclature ",N,,,,2,
73, Cord Blood Unit DNA sample,Cord blood unit DNA sample that may be available for shipment,S,,,"Y =yesN = No",1,
74,HLA B (1st allele),"DNA-B, 1st allele .Values according to WHO nomenclature ",N,,,,2,
75,HLA B (2nd allele),"DNA-B, 2nd allele. Values according to WHO nomenclature ",N,,,,2,
76,HLAC (1st allele),"DNA-C, 1st allele. Values according to WHO nomenclature ",N,,,,2,
77,HLAC (2nd allele),"DNA-C, 2nd allele. Values according to WHO nomenclature ",N,,,,2,
